Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691394
,MIR.M.AT.B.L22.F.R.A.2250.EUR.N,MIR.M.BE.B.L22.F.R.A.2250.EUR.N,MIR.M.BG.B.L22.F.R.A.2250.BGN.N,MIR.M.CY.B.L22.F.R.A.2250.EUR.N,MIR.M.CZ.B.L22.F.R.A.2250.CZK.N,MIR.M.DE.B.L22.F.R.A.2250.EUR.N,MIR.M.DK.B.L22.F.R.A.2250.DKK.N,MIR.M.EE.B.L22.F.R.A.2250.EEK.N,MIR.M.EE.B.L22.F.R.A.2250.EUR.N,MIR.M.ES.B.L22.F.R.A.2250.EUR.N,MIR.M.FI.B.L22.F.R.A.2250.EUR.N,MIR.M.FR.B.L22.F.R.A.2250.EUR.N,MIR.M.GR.B.L22.F.R.A.2250.EUR.N,MIR.M.HR.B.L22.F.R.A.2250.HRK.N,MIR.M.HU.B.L22.F.R.A.2250.HUF.N,MIR.M.IE.B.L22.F.R.A.2250.EUR.N,MIR.M.IT.B.L22.F.R.A.2250.EUR.N,MIR.M.LT.B.L22.F.R.A.2250.EUR.N,MIR.M.LT.B.L22.F.R.A.2250.LTL.N,MIR.M.LU.B.L22.F.R.A.2250.EUR.N,MIR.M.LV.B.L22.F.R.A.2250.EUR.N,MIR.M.LV.B.L22.F.R.A.2250.LVL.N,MIR.M.MT.B.L22.F.R.A.2250.EUR.N,MIR.M.MT.B.L22.F.R.A.2250.MTL.N,MIR.M.NL.B.L22.F.R.A.2250.EUR.N,MIR.M.PL.B.L22.F.R.A.2250.PLN.N,MIR.M.PT.B.L22.F.R.A.2250.EUR.N,MIR.M.RO.B.L22.F.R.A.2250.RON.N,MIR.M.SE.B.L22.F.R.A.2250.SEK.N,MIR.M.SI.B.L22.F.R.A.2250.EUR.N,MIR.M.SI.B.L22.F.R.A.2250.SIT.N,MIR.M.SK.B.L22.F.R.A.2250.EUR.N,MIR.M.SK.B.L22.F.R.A.2250.SKK.N
,"Austria, Euro","Belgium, Euro","Bulgaria, Bulgarian lev","Cyprus, Euro","Czech Republic, Czech koruna","Germany, Euro","Denmark, Danish krone","Estonia, Estonian kroon","Estonia, Euro","Spain, Euro","Finland, Euro","France, Euro","Greece, Euro","Croatia, Croatian kuna","Hungary, Hungarian forint","Ireland, Euro","Italy, Euro","Lithuania, Euro","Lithuania, Lithuanian litas","Luxembourg, Euro","Latvia, Euro","Latvia, Latvian lats","Malta, Euro","Malta, Maltese lira","Netherlands, Euro","Poland, Polish zloty","Portugal, Euro","Romania, Romanian leu","Sweden, Swedish krona","Slovenia, Euro","Slovenia, Slovenian tolar","Slovakia, Euro","Slovakia, Slovak koruna"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ],[Percent per annum ]
2022Sep,0.80,0.84,0.12,0.11,6.10,0.84,1.15,,0.94,0.16,1.20,1.12,0.14,0.06,,0.18,1.16,0.25,,0.73,0.62,,0.59,,1.84,5.44,0.05,6.44,1.65,0.11,,0.77,
2022Aug,0.37,0.37,0.11,0.06,5.98,0.49,0.25,,0.83,0.01,0.62,0.85,0.11,0.06,8.42,0.06,0.88,0.52,,0.72,0.41,,0.54,,1.53,5.22,0.07,6.22,1.21,0.04,,0.48,
2022Jul,0.23,0.11,0.09,0.05,5.95,0.31,-0.44,,0.59,0.03,0.32,0.64,0.13,0.05,6.96,0.11,0.66,0.43,,0.15,0.12,,0.48,,1.59,4.85,0.09,5.49,0.90,0.03,,0.21,
2022Jun,0.12,0.14,0.06,0.05,5.37,0.17,-0.45,,0.49,0.01,0.28,0.44,0.12,0.06,4.78,0.02,0.39,0.20,,0.11,0.16,,0.39,,1.47,4.50,0.07,4.37,0.53,0.03,,0.16,
2022May,0.08,0.07,0.04,0.05,4.53,0.14,-0.50,,0.50,0.01,0.16,0.41,0.12,0.08,4.03,0.02,0.47,0.20,,0.10,0.16,,0.38,,1.23,3.38,0.04,3.21,0.38,0.04,,0.21,
2022Apr,0.10,0.06,0.04,0.05,4.17,0.14,-0.51,,0.44,0.01,0.22,0.42,0.13,0.07,3.86,0.02,0.44,0.13,,0.04,0.14,,0.40,,1.15,2.03,0.04,2.56,0.32,0.03,,0.24,
2022Mar,0.08,0.07,0.04,0.05,3.51,0.12,-0.54,,0.47,0.01,0.18,0.48,0.13,0.06,3.48,0.11,0.62,0.24,,0.13,0.33,,0.43,,1.08,1.48,0.04,2.05,0.25,0.03,,0.24,
2022Feb,0.09,0.07,0.04,0.07,3.47,0.06,-0.59,,0.41,0.01,0.21,0.49,0.14,0.04,2.31,0.13,0.64,0.04,,-0.39,0.32,,0.42,,1.00,1.20,0.04,1.53,0.19,0.05,,0.36,
2022Jan,0.09,0.15,0.04,0.06,2.79,0.11,-0.57,,0.45,0.01,0.18,0.48,0.14,0.05,2.19,0.13,0.50,0.05,,-0.16,0.25,,0.40,,0.94,0.99,0.04,1.41,0.22,0.04,,0.24,
2021Dec,0.07,0.08,0.06,0.06,2.32,-0.07,-0.19,,0.42,0.01,0.17,0.32,0.14,0.08,1.58,0.13,0.52,0.03,,0.10,0.20,,0.35,,1.00,0.69,0.04,1.39,0.23,0.05,,0.50,
2021Nov,0.09,0.08,0.05,0.06,2.04,0.09,-0.26,,0.24,0.01,0.11,0.48,0.14,0.06,0.92,0.11,0.69,0.03,,0.05,0.14,,0.36,,1.03,0.44,0.04,1.27,0.20,0.15,,0.48,
2021Oct,0.08,0.08,0.05,0.06,1.15,0.06,-0.45,,0.21,0.01,0.13,0.47,0.14,0.06,0.80,0.11,0.75,0.05,,0.07,0.14,,0.37,,1.00,0.35,0.04,1.15,0.26,0.12,,0.52,
2021Sep,0.09,0.13,0.04,0.06,0.67,-0.01,0.81,,0.26,0.01,0.13,0.39,0.14,0.05,0.55,0.09,0.67,0.06,,0.51,0.24,,0.39,,1.04,0.29,0.04,1.10,0.22,0.13,,0.43,
2021Aug,0.10,0.16,0.05,0.07,0.57,0.02,0.23,,0.30,0.01,0.14,0.40,0.16,0.05,0.51,0.12,0.49,0.05,,-0.05,0.35,,0.41,,0.95,0.23,0.05,1.14,0.18,0.14,,0.55,
2021Jul,0.10,0.14,0.03,0.07,0.29,0.02,-0.44,,0.25,0.01,0.14,0.43,0.14,0.06,0.39,0.11,0.51,0.05,,0.02,0.35,,0.44,,1.02,0.22,0.05,1.12,0.20,0.12,,0.63,
2021Jun,0.11,0.18,0.05,0.07,0.30,-0.04,-0.54,,0.33,0.01,0.13,0.47,0.14,0.05,0.32,0.10,0.47,0.06,,0.21,0.40,,0.45,,1.02,0.22,0.05,1.08,0.23,0.12,,0.46,
2021May,0.10,0.17,0.06,0.07,0.33,0.01,-0.24,,0.49,0.01,0.12,0.40,0.15,0.06,0.31,0.13,0.60,0.06,,0.01,0.51,,0.47,,0.88,0.21,0.05,1.09,0.21,0.14,,0.54,
2021Apr,0.14,0.21,0.05,0.07,0.23,0.06,-0.53,,0.52,0.01,0.14,0.41,0.16,0.05,0.31,0.10,0.82,0.05,,0.05,0.20,,0.47,,0.96,0.19,0.05,1.07,0.37,0.12,,0.45,
2021Mar,0.15,0.18,0.05,0.08,0.26,0.06,-0.20,,0.55,0.01,0.15,0.35,0.16,0.07,0.33,0.11,0.82,0.06,,0.07,0.40,,0.46,,0.93,0.20,0.05,1.16,0.29,0.12,,0.44,
2021Feb,0.14,0.14,0.07,0.08,0.26,0.07,-0.28,,0.53,0.01,0.17,0.47,0.18,0.06,0.28,0.12,0.80,0.06,,-0.03,0.56,,0.49,,0.97,0.26,0.06,1.21,0.35,0.14,,0.54,
2021Jan,0.18,0.19,0.08,0.08,0.25,0.03,-0.34,,0.54,0.01,0.17,0.55,0.19,0.06,0.24,0.02,0.68,0.06,,0.08,0.27,,0.52,,0.98,0.34,0.07,1.39,0.37,0.11,,0.52,
2020Dec,0.23,0.41,0.09,0.08,0.28,-0.01,-0.18,,0.49,0.01,0.18,0.28,0.19,0.06,0.25,0.02,0.61,0.07,,-0.22,0.21,,0.52,,0.94,0.51,0.06,1.51,0.30,0.13,,0.49,
2020Nov,0.14,0.28,0.07,0.09,0.38,0.11,0.06,,0.54,0.11,0.06,0.51,0.21,0.06,0.28,0.02,0.57,0.08,,0.02,0.19,,0.55,,1.03,0.45,0.07,1.48,0.22,0.15,,0.49,
